operaciones_ult_12m;gastos_ult_12m;limite_credito_tc;antiguedad_cliente;tasa_interes;ingresos;pct_ingreso;antiguedad_empleado;edad;estado_credito_N;estado_civil_N;importe_solicitado;duracion_credito;situacion_vivienda;objetivo_credito;falta_pago;estado_cliente;genero;personas_a_cargo
>74;4k_to_6k;3k_to_5k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;D;7000;2;HIPOTECA;INVERSIONES;N;ACTIVO;F;2
50_to_75;4k_to_6k;>10k;<25y;12p_to_18p;20k_to_50k;<20;<5;<25;Cancelado;S;4000;2;HIPOTECA;EDUCACIÓN;Y;ACTIVO;M;3
50_to_75;1k_to_4k;>10k;25y_to_50y;12p_to_18p;20k_to_50k;<20;5_to_10;<25;Cancelado;S;6000;2;HIPOTECA;EDUCACIÓN;N;ACTIVO;F;2
>74;4k_to_6k;3k_to_5k;<25y;12p_to_18p;20k_to_50k;<20;<5;<25;Activo;C;4200;4;ALQUILER;PERSONAL;Y;ACTIVO;F;0
30_to_50;1k_to_4k;<3k;25y_to_50y;6p_to_12p;<20k;40_to_60;<5;<25;Activo;S;5700;4;ALQUILER;SALUD;N;PASIVO;F;3
50_to_75;1k_to_4k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;40_to_60;NA;<25;Cancelado;C;14775;4;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;M;4
30_to_50;1k_to_4k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;S;4000;2;HIPOTECA;PAGO_DEUDAS;Y;PASIVO;F;1
50_to_75;4k_to_6k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;S;10000;4;HIPOTECA;SALUD;N;PASIVO;M;3
30_to_50;1k_to_4k;3k_to_5k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;<5;25_to_30;Activo;S;25000;2;ALQUILER;SALUD;N;ACTIVO;F;4
50_to_75;1k_to_4k;5k_to_10k;25y_to_50y;12p_to_18p;20k_to_50k;20_to_40;5_to_10;25_to_30;Activo;S;13000;2;ALQUILER;SALUD;N;ACTIVO;M;2
50_to_75;1k_to_4k;5k_to_10k;25y_to_50y;12p_to_18p;20k_to_50k;<20;5_to_10;<25;Activo;S;3600;3;ALQUILER;PAGO_DEUDAS;Y;ACTIVO;F;2
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;N;6000;3;HIPOTECA;INVERSIONES;N;ACTIVO;F;4
>74;8k_to_10k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;S;8000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;M;2
30_to_50;1k_to_4k;>10k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;<5;25_to_30;Activo;C;18000;4;ALQUILER;INVERSIONES;N;ACTIVO;M;3
>74;4k_to_6k;3k_to_5k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;25_to_30;Cancelado;C;5000;4;ALQUILER;SALUD;N;ACTIVO;M;2
15_to_30;1k_to_4k;5k_to_10k;>50y;6p_to_12p;20k_to_50k;<20;5_to_10;25_to_30;Cancelado;C;3000;4;ALQUILER;SALUD;N;ACTIVO;M;1
30_to_50;1k_to_4k;3k_to_5k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;C;1200;2;HIPOTECA;INVERSIONES;N;ACTIVO;F;2
50_to_75;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;C;5000;4;ALQUILER;PERSONAL;N;ACTIVO;F;1
50_to_75;1k_to_4k;3k_to_5k;25y_to_50y;6p_to_12p;20k_to_50k;40_to_60;<5;25_to_30;Activo;C;13250;2;ALQUILER;INVERSIONES;N;ACTIVO;M;3
30_to_50;1k_to_4k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;5_to_10;<25;Cancelado;C;13500;4;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;1
>74;>10k;3k_to_5k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;C;6000;2;HIPOTECA;INVERSIONES;N;ACTIVO;F;2
>74;4k_to_6k;<3k;<25y;6p_to_12p;20k_to_50k;<20;<5;25_to_30;Cancelado;N;6400;3;ALQUILER;INVERSIONES;N;ACTIVO;F;3
50_to_75;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;25_to_30;Cancelado;N;6000;3;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;F;3
50_to_75;1k_to_4k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;25_to_30;Cancelado;D;6000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;M;4
15_to_30;1k_to_4k;>10k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;<5;<25;Cancelado;S;20000;3;ALQUILER;SALUD;N;PASIVO;M;1
30_to_50;1k_to_4k;5k_to_10k;25y_to_50y;12p_to_18p;>100k;<20;5_to_10;<25;Cancelado;C;15000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;M;2
>74;>10k;5k_to_10k;25y_to_50y;12p_to_18p;20k_to_50k;20_to_40;5_to_10;25_to_30;Activo;C;9000;4;ALQUILER;PAGO_DEUDAS;Y;ACTIVO;F;1
>74;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;C;6000;2;HIPOTECA;PERSONAL;N;ACTIVO;F;3
>74;6k_to_8k;5k_to_10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;C;8000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;F;3
50_to_75;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;C;5000;3;HIPOTECA;EDUCACIÓN;N;ACTIVO;F;1
>74;6k_to_8k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;<25;Cancelado;C;8000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;M;3
30_to_50;1k_to_4k;>10k;25y_to_50y;6p_to_12p;<20k;20_to_40;<5;<25;Activo;D;3650;3;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;M;4
>74;4k_to_6k;5k_to_10k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;>10;25_to_30;Cancelado;C;10000;4;HIPOTECA;EDUCACIÓN;Y;ACTIVO;F;3
50_to_75;1k_to_4k;<3k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;<25;Cancelado;S;4000;4;HIPOTECA;INVERSIONES;N;ACTIVO;M;0
>74;>10k;5k_to_10k;25y_to_50y;<6p;20k_to_50k;20_to_40;<5;25_to_30;Cancelado;C;9000;3;ALQUILER;PERSONAL;N;ACTIVO;M;3
50_to_75;4k_to_6k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;C;3000;2;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;M;2
30_to_50;1k_to_4k;>10k;25y_to_50y;6p_to_12p;<20k;<20;5_to_10;25_to_30;Activo;C;1750;4;ALQUILER;INVERSIONES;N;ACTIVO;F;3
50_to_75;1k_to_4k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;C;2800;3;HIPOTECA;INVERSIONES;Y;ACTIVO;F;3
50_to_75;1k_to_4k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;<25;Cancelado;C;15000;2;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;F;3
50_to_75;1k_to_4k;>10k;25y_to_50y;<6p;20k_to_50k;<20;NA;<25;Cancelado;S;3600;2;HIPOTECA;SALUD;N;ACTIVO;M;2
15_to_30;1k_to_4k;>10k;25y_to_50y;6p_to_12p;>100k;<20;5_to_10;25_to_30;Activo;C;35000;2;HIPOTECA;EDUCACIÓN;N;ACTIVO;M;3
50_to_75;1k_to_4k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;D;3300;4;ALQUILER;PERSONAL;N;ACTIVO;F;3
>74;8k_to_10k;3k_to_5k;>50y;12p_to_18p;50k_to_100k;<20;<5;<25;Cancelado;S;8400;2;ALQUILER;SALUD;Y;PASIVO;M;1
50_to_75;1k_to_4k;<3k;25y_to_50y;12p_to_18p;50k_to_100k;<20;<5;<25;Activo;C;6350;3;ALQUILER;PERSONAL;Y;PASIVO;F;3
>74;4k_to_6k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;25_to_30;Cancelado;S;4200;2;HIPOTECA;INVERSIONES;N;ACTIVO;M;5
>74;8k_to_10k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;S;8000;3;ALQUILER;INVERSIONES;N;ACTIVO;M;2
30_to_50;1k_to_4k;>10k;25y_to_50y;12p_to_18p;>100k;<20;<5;25_to_30;Cancelado;C;10000;3;ALQUILER;MEJORAS_HOGAR;Y;PASIVO;M;2
>74;1k_to_4k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;<25;Cancelado;S;8000;3;PROPIA;INVERSIONES;N;ACTIVO;M;2
50_to_75;1k_to_4k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;<25;Cancelado;N;6000;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;3
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;C;4750;2;HIPOTECA;INVERSIONES;N;ACTIVO;M;3
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;D;3600;4;HIPOTECA;EDUCACIÓN;N;ACTIVO;F;3
15_to_30;<1k;<3k;25y_to_50y;12p_to_18p;>100k;20_to_40;5_to_10;25_to_30;Cancelado;C;34800;2;ALQUILER;PERSONAL;Y;PASIVO;F;0
>74;>10k;3k_to_5k;25y_to_50y;6p_to_12p;50k_to_100k;<20;NA;<25;Cancelado;S;4000;4;PROPIA;EDUCACIÓN;N;ACTIVO;F;1
>74;1k_to_4k;<3k;<25y;6p_to_12p;>100k;<20;<5;25_to_30;Cancelado;C;10000;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;3
50_to_75;1k_to_4k;3k_to_5k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;<25;Cancelado;C;1700;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;1
>74;4k_to_6k;3k_to_5k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;25_to_30;Cancelado;C;7200;4;ALQUILER;EDUCACIÓN;N;ACTIVO;F;2
>74;4k_to_6k;3k_to_5k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;25_to_30;Cancelado;C;5000;3;ALQUILER;PERSONAL;N;ACTIVO;F;1
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;25_to_30;Cancelado;C;6000;2;PROPIA;INVERSIONES;N;ACTIVO;F;2
50_to_75;1k_to_4k;<3k;<25y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;C;6625;4;ALQUILER;INVERSIONES;Y;PASIVO;F;1
>74;>10k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;C;8400;3;ALQUILER;INVERSIONES;N;ACTIVO;M;2
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;<25;Cancelado;C;6000;3;ALQUILER;SALUD;N;ACTIVO;F;2
30_to_50;1k_to_4k;3k_to_5k;<25y;6p_to_12p;<20k;20_to_40;5_to_10;<25;Activo;D;4475;4;PROPIA;SALUD;N;ACTIVO;F;4
50_to_75;1k_to_4k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;<25;Cancelado;S;12000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;M;2
>74;4k_to_6k;5k_to_10k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;25_to_30;Cancelado;S;9000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;F;3
>74;8k_to_10k;5k_to_10k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;<25;Cancelado;N;8000;4;ALQUILER;INVERSIONES;N;ACTIVO;M;2
30_to_50;1k_to_4k;<3k;25y_to_50y;12p_to_18p;20k_to_50k;20_to_40;5_to_10;25_to_30;Activo;S;6000;4;ALQUILER;EDUCACIÓN;Y;PASIVO;M;1
>74;4k_to_6k;3k_to_5k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;C;7000;3;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;F;4
50_to_75;1k_to_4k;>10k;25y_to_50y;6p_to_12p;>100k;<20;<5;<25;Cancelado;C;5000;4;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;3
50_to_75;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;C;6350;4;HIPOTECA;INVERSIONES;N;ACTIVO;F;1
30_to_50;1k_to_4k;<3k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;<5;<25;Activo;C;18000;2;ALQUILER;EDUCACIÓN;N;ACTIVO;M;3
>74;4k_to_6k;<3k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;5_to_10;25_to_30;Cancelado;S;10000;2;PROPIA;MEJORAS_HOGAR;Y;ACTIVO;F;2
50_to_75;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;25_to_30;Cancelado;C;5000;4;ALQUILER;INVERSIONES;N;ACTIVO;F;1
>74;4k_to_6k;3k_to_5k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;S;6400;2;HIPOTECA;EDUCACIÓN;N;ACTIVO;F;2
50_to_75;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;S;8000;2;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;F;1
>74;>10k;3k_to_5k;<25y;6p_to_12p;20k_to_50k;20_to_40;<5;<25;Activo;S;8700;2;ALQUILER;EDUCACIÓN;N;ACTIVO;F;1
50_to_75;1k_to_4k;>10k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;5_to_10;25_to_30;Activo;C;20000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;M;2
>74;1k_to_4k;5k_to_10k;25y_to_50y;12p_to_18p;20k_to_50k;20_to_40;>10;25_to_30;Cancelado;S;11500;4;HIPOTECA;PERSONAL;N;ACTIVO;M;3
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;25_to_30;Cancelado;C;5700;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;1
>74;4k_to_6k;3k_to_5k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;D;5000;3;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;3
30_to_50;1k_to_4k;5k_to_10k;>50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;S;3500;3;HIPOTECA;SALUD;Y;PASIVO;F;0
50_to_75;8k_to_10k;>10k;<25y;12p_to_18p;50k_to_100k;<20;<5;<25;Activo;C;9500;4;ALQUILER;MEJORAS_HOGAR;Y;PASIVO;M;2
>74;8k_to_10k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;>10;25_to_30;Activo;C;10000;3;HIPOTECA;SALUD;N;ACTIVO;M;3
>74;>10k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;C;9900;3;HIPOTECA;PERSONAL;N;ACTIVO;M;5
>74;>10k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;S;5000;2;ALQUILER;EDUCACIÓN;N;ACTIVO;F;2
50_to_75;1k_to_4k;3k_to_5k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;D;5000;3;HIPOTECA;EDUCACIÓN;N;PASIVO;F;3
30_to_50;1k_to_4k;<3k;25y_to_50y;12p_to_18p;20k_to_50k;20_to_40;5_to_10;<25;Activo;D;6000;2;HIPOTECA;SALUD;Y;ACTIVO;F;1
30_to_50;1k_to_4k;>10k;25y_to_50y;12p_to_18p;20k_to_50k;40_to_60;<5;25_to_30;Activo;D;21000;4;ALQUILER;SALUD;Y;ACTIVO;M;4
30_to_50;1k_to_4k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Activo;C;2100;4;ALQUILER;SALUD;N;ACTIVO;M;3
50_to_75;1k_to_4k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;S;3200;2;ALQUILER;EDUCACIÓN;N;ACTIVO;M;3
30_to_50;1k_to_4k;3k_to_5k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;<25;Activo;N;5000;2;ALQUILER;SALUD;Y;PASIVO;F;2
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;S;7000;4;HIPOTECA;PERSONAL;N;ACTIVO;F;4
50_to_75;4k_to_6k;5k_to_10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;25_to_30;Cancelado;S;4000;2;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;M;3
30_to_50;1k_to_4k;>10k;>50y;12p_to_18p;20k_to_50k;20_to_40;<5;<25;Activo;C;13000;2;ALQUILER;INVERSIONES;N;ACTIVO;F;1
30_to_50;1k_to_4k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;C;2500;2;ALQUILER;EDUCACIÓN;N;ACTIVO;M;2
30_to_50;1k_to_4k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;S;17400;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;0
50_to_75;1k_to_4k;<3k;<25y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;<25;Cancelado;S;12375;2;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;F;3
50_to_75;1k_to_4k;3k_to_5k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;S;1675;4;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;M;3
>74;4k_to_6k;<3k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;25_to_30;Cancelado;C;7000;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;2
>74;1k_to_4k;<3k;25y_to_50y;12p_to_18p;50k_to_100k;<20;<5;<25;Cancelado;C;7000;3;ALQUILER;PERSONAL;N;ACTIVO;F;4
30_to_50;1k_to_4k;<3k;25y_to_50y;12p_to_18p;50k_to_100k;<20;<5;<25;Cancelado;C;8000;2;HIPOTECA;EDUCACIÓN;N;PASIVO;F;3
>74;4k_to_6k;3k_to_5k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;NA;25_to_30;Activo;C;7000;4;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;F;1
50_to_75;1k_to_4k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;<25;Cancelado;D;8000;3;HIPOTECA;EDUCACIÓN;N;ACTIVO;F;2
>74;4k_to_6k;3k_to_5k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;C;4000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;M;2
>74;1k_to_4k;3k_to_5k;<25y;6p_to_12p;20k_to_50k;<20;<5;25_to_30;Cancelado;S;3500;4;ALQUILER;PERSONAL;N;ACTIVO;M;2
50_to_75;1k_to_4k;5k_to_10k;25y_to_50y;12p_to_18p;20k_to_50k;<20;5_to_10;25_to_30;Cancelado;S;2500;4;ALQUILER;INVERSIONES;N;ACTIVO;M;1
>74;4k_to_6k;<3k;25y_to_50y;<6p;20k_to_50k;<20;5_to_10;<25;Cancelado;S;5000;2;HIPOTECA;EDUCACIÓN;N;ACTIVO;F;1
50_to_75;1k_to_4k;>10k;<25y;6p_to_12p;20k_to_50k;<20;<5;<25;Activo;S;1900;3;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;2
50_to_75;4k_to_6k;5k_to_10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;C;2500;3;HIPOTECA;INVERSIONES;N;ACTIVO;F;2
30_to_50;1k_to_4k;>10k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;25_to_30;Activo;S;4000;3;ALQUILER;MEJORAS_HOGAR;Y;PASIVO;M;3
>74;4k_to_6k;<3k;25y_to_50y;12p_to_18p;>100k;<20;<5;<25;Activo;S;5000;3;ALQUILER;INVERSIONES;N;ACTIVO;F;0
50_to_75;1k_to_4k;>10k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;<25;Cancelado;S;6000;2;HIPOTECA;SALUD;N;ACTIVO;F;3
30_to_50;1k_to_4k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;25_to_30;Cancelado;C;4800;3;ALQUILER;PAGO_DEUDAS;Y;PASIVO;F;2
>74;1k_to_4k;5k_to_10k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;<25;Cancelado;S;3000;4;ALQUILER;PERSONAL;Y;ACTIVO;F;2
50_to_75;1k_to_4k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;25_to_30;Cancelado;D;3500;2;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;F;1
>74;>10k;>10k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;<25;Cancelado;S;8000;2;ALQUILER;EDUCACIÓN;Y;ACTIVO;M;2
50_to_75;1k_to_4k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;40_to_60;5_to_10;<25;Cancelado;C;18500;4;HIPOTECA;EDUCACIÓN;N;ACTIVO;M;2
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;40_to_60;<5;25_to_30;Cancelado;C;24200;3;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;F;5
30_to_50;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;50k_to_100k;40_to_60;5_to_10;<25;Cancelado;C;22000;3;HIPOTECA;PAGO_DEUDAS;Y;PASIVO;M;3
30_to_50;1k_to_4k;>10k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;<25;Activo;C;4000;2;ALQUILER;INVERSIONES;N;PASIVO;F;2
15_to_30;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;<20k;<20;<5;25_to_30;Cancelado;D;1000;2;ALQUILER;EDUCACIÓN;N;ACTIVO;F;3
50_to_75;1k_to_4k;<3k;>50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;S;5000;4;ALQUILER;INVERSIONES;N;ACTIVO;F;2
30_to_50;1k_to_4k;<3k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;<25;Cancelado;C;6000;3;ALQUILER;PERSONAL;Y;PASIVO;F;1
50_to_75;8k_to_10k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;C;2500;3;PROPIA;PERSONAL;N;PASIVO;M;3
30_to_50;1k_to_4k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;C;2500;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;3
50_to_75;4k_to_6k;3k_to_5k;25y_to_50y;12p_to_18p;20k_to_50k;<20;5_to_10;<25;Cancelado;C;3600;3;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;2
30_to_50;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;5_to_10;<25;Cancelado;C;24500;4;ALQUILER;SALUD;N;ACTIVO;M;4
30_to_50;1k_to_4k;5k_to_10k;<25y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;<25;Activo;C;14000;2;ALQUILER;PERSONAL;N;ACTIVO;M;2
>74;4k_to_6k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;5_to_10;<25;Cancelado;S;15000;2;HIPOTECA;SALUD;N;ACTIVO;M;5
>74;4k_to_6k;5k_to_10k;25y_to_50y;12p_to_18p;50k_to_100k;<20;<5;<25;Cancelado;C;5500;3;ALQUILER;INVERSIONES;N;ACTIVO;F;5
50_to_75;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;<5;<25;Cancelado;C;7500;4;ALQUILER;SALUD;N;ACTIVO;M;4
50_to_75;1k_to_4k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;N;7500;2;ALQUILER;INVERSIONES;N;ACTIVO;M;4
50_to_75;1k_to_4k;3k_to_5k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;<5;<25;Activo;N;16000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;F;2
50_to_75;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;C;6000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;F;1
15_to_30;1k_to_4k;3k_to_5k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;25_to_30;Cancelado;S;5000;3;PROPIA;PERSONAL;Y;PASIVO;F;2
>74;8k_to_10k;<3k;25y_to_50y;<6p;50k_to_100k;<20;<5;<25;Cancelado;S;5200;2;HIPOTECA;PERSONAL;N;ACTIVO;F;4
30_to_50;1k_to_4k;3k_to_5k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;25_to_30;Cancelado;C;7000;3;ALQUILER;PERSONAL;N;PASIVO;F;4
30_to_50;1k_to_4k;>10k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;<25;Cancelado;S;4000;2;ALQUILER;PAGO_DEUDAS;Y;PASIVO;F;4
30_to_50;1k_to_4k;3k_to_5k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;<5;25_to_30;Cancelado;C;22000;3;ALQUILER;INVERSIONES;N;ACTIVO;F;1
>74;4k_to_6k;<3k;25y_to_50y;12p_to_18p;20k_to_50k;20_to_40;<5;<25;Cancelado;N;6000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;F;4
30_to_50;1k_to_4k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Activo;S;4650;4;HIPOTECA;PAGO_DEUDAS;N;PASIVO;F;2
>74;6k_to_8k;>10k;25y_to_50y;12p_to_18p;20k_to_50k;20_to_40;<5;<25;Cancelado;S;8000;2;ALQUILER;SALUD;Y;ACTIVO;F;3
>74;>10k;3k_to_5k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;<25;Activo;N;9000;4;ALQUILER;PERSONAL;N;ACTIVO;F;1
>74;8k_to_10k;>10k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;25_to_30;Cancelado;N;1200;2;PROPIA;INVERSIONES;N;ACTIVO;M;0
50_to_75;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;S;6000;3;ALQUILER;PERSONAL;N;ACTIVO;F;2
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;S;5000;3;ALQUILER;SALUD;N;ACTIVO;F;2
